Data,Czas,Produkt,ISIN,Giełda referenc,Miejsce wykonania,Liczba,Kurs,,Wartość lokalna,,Wartość,,Kurs wymian,Opłata transakcyjna,,Razem,,Identyfikator zlecenia
24-12-2020,15:35,ALIBABA GROUP HOLDING,US01609W1027,NSY,CDED,3,226.5000,USD,-679.50,USD,-557.56,EUR,1.2175,-0.51,EUR,-558.07,EUR,c87a0740-839d-4bd2-87aa-0cf3224ea6ab
18-12-2020,21:51,ACTIVISION BLIZZARD I,US00507V1098,NDQ,XNAS,-2,90.0000,USD,180.00,USD,146.72,EUR,1.2256,-0.51,EUR,146.21,EUR,2672b95f-97b4-43da-a9f6-071ee96b8258
17-12-2020,21:41,TESLA MOTORS INC. - C,US88160R1014,NDQ,XNAS,-1,650.0000,USD,650.00,USD,529.08,EUR,1.2273,-0.50,EUR,528.58,EUR,5fce8dc5-c388-45a2-a2f3-88508a20df79
11-12-2020,15:50,CD PROJEKT RED SA,PLOPTTC00011,WSE,XWAR,2,320.6000,PLN,-641.20,PLN,-144.48,EUR,4.4381,-0.36,EUR,-144.84,EUR,0bb27628-7a1f-460e-9c30-2d69d3f61fb7
10-12-2020,15:33,ALPHABET INC. - CLASS A,US02079K3059,NDQ,CDED,1,1746.6500,USD,-1746.65,USD,-1441.72,EUR,1.2103,-0.50,EUR,-1442.22,EUR,13d62c44-4899-4031-98b2-29824b4563cc
10-12-2020,13:31,CD PROJEKT RED SA,PLOPTTC00011,WSE,XWAR,1,360.8000,PLN,-360.80,PLN,-81.44,EUR,4.4300,-0.30,EUR,-81.74,EUR,90eda9bb-cd8f-43b4-ac1a-848f85cb3720
09-12-2020,19:54,SNOWFLAKE INC-CLASS A,US8334451098,NSY,XNAS,1,366.0000,USD,-366.00,USD,-303.43,EUR,1.2050,-0.50,EUR,-303.93,EUR,dd0361e5-5e63-4635-b691-13acebd0e207
09-12-2020,19:26,TESLA MOTORS INC. - C,US88160R1014,NDQ,CDED,1,620.2800,USD,-620.28,USD,-514.03,EUR,1.2055,-0.50,EUR,-514.53,EUR,cdeea54b-452d-40ca-8add-ddc7b909bae9
09-12-2020,15:52,SNOWFLAKE INC-CLASS A,US8334451098,NSY,XNAS,1,388.0000,USD,-388.00,USD,-320.71,EUR,1.2086,-0.50,EUR,-321.21,EUR,c959124a-36b1-4e3d-909f-af1e49a0b075
07-12-2020,15:48,TESLA MOTORS INC. - C,US88160R1014,NDQ,XNAS,-1,618.0000,USD,618.00,USD,507.33,EUR,1.2169,-0.50,EUR,506.83,EUR,c4c2abe7-56cc-4e71-af37-b66845c7ffbc
04-12-2020,17:26,SNOWFLAKE INC-CLASS A,US8334451098,NSY,CDED,-1,378.6900,USD,378.69,USD,311.44,EUR,1.2147,-0.50,EUR,310.94,EUR,7dfd65fd-e7a9-4c35-8ac8-138e1703dc43
03-12-2020,19:15,SNOWFLAKE INC-CLASS A,US8334451098,NSY,ARCX,-1,340.0000,USD,340.00,USD,279.60,EUR,1.2148,-0.50,EUR,279.10,EUR,268a4f4e-161f-46ec-adff-5450deb9e013
03-12-2020,17:02,SNOWFLAKE INC-CLASS A,US8334451098,NSY,ARCX,-1,328.0000,USD,328.00,USD,269.20,EUR,1.2172,-0.50,EUR,268.70,EUR,eac5af6b-ce28-4015-a6f9-9145e5fb11b1
03-12-2020,15:40,TESLA MOTORS INC. - C,US88160R1014,NDQ,CDED,-1,592.4900,USD,592.49,USD,486.75,EUR,1.2160,-0.50,EUR,486.25,EUR,97f0e7d1-626c-41c0-b726-3920a1d5bd02
03-12-2020,15:19,VIATRIS INC.  O.N.,US92556V1061,FRA,,1,0.0000,EUR,0.00,EUR,0.00,EUR,,,,0.00,EUR,
03-12-2020,15:19,PFIZER INC - NON TRADEABLE,US92556V1061,DEG,,-1,0.0000,EUR,0.00,EUR,0.00,EUR,,,,0.00,EUR,
02-12-2020,16:58,SNOWFLAKE INC-CLASS A,US8334451098,NSY,XNYS,1,299.0000,USD,-299.00,USD,-247.58,EUR,1.2065,-0.50,EUR,-248.08,EUR,aa03464c-9ba3-4341-b11d-8cc21fb502a7
02-12-2020,15:37,TESLA MOTORS INC. - C,US88160R1014,NDQ,XNAS,1,550.0000,USD,-550.00,USD,-455.64,EUR,1.2059,-0.50,EUR,-456.14,EUR,4e429634-9614-49fe-b83b-ec0840d7b9ea
02-12-2020,15:35,ALIBABA GROUP HOLDING,US01609W1027,NSY,CDED,1,260.3800,USD,-260.38,USD,-215.74,EUR,1.2057,-0.50,EUR,-216.24,EUR,3d91e048-8c60-4040-a407-7984f51c3aff
02-12-2020,15:33,TESLA MOTORS INC. - C,US88160R1014,NDQ,XNAS,1,551.0000,USD,-551.00,USD,-456.47,EUR,1.2059,-0.50,EUR,-456.97,EUR,c65af4a6-7e28-4cd5-b925-4b41e0ffbb17
01-12-2020,17:32,SNOWFLAKE INC-CLASS A,US8334451098,NSY,CDED,1,308.3500,USD,-308.35,USD,-255.96,EUR,1.2035,-0.50,EUR,-256.46,EUR,cc9b70c4-53e2-4f02-9dba-e873696361f8
30-11-2020,20:26,APPLE INC. - COMMON ST,US0378331005,NDQ,XNAS,-2,120.0000,USD,240.00,USD,200.49,EUR,1.1959,-0.51,EUR,199.98,EUR,d266015d-5854-4533-95ff-aabeb923810b
27-11-2020,16:01,SNOWFLAKE INC-CLASS A,US8334451098,NSY,CDED,-1,328.2800,USD,328.28,USD,274.32,EUR,1.1955,-0.50,EUR,273.82,EUR,be4ad3df-d2bf-4d5e-81f7-0d04c1318369
27-11-2020,15:42,MODERNA INC. - COMMON,US60770K1079,NDQ,XNAS,-1,120.0000,USD,120.00,USD,100.28,EUR,1.1954,-0.50,EUR,99.78,EUR,b46756ed-650b-4da5-aa05-faba977f3335
25-11-2020,21:02,SNOWFLAKE INC-CLASS A,US8334451098,NSY,SOHO,-1,307.0600,USD,307.06,USD,257.22,EUR,1.1926,-0.50,EUR,256.72,EUR,8b61f524-8624-4fc3-827a-84d385a0d306
24-11-2020,18:57,SNOWFLAKE INC-CLASS A,US8334451098,NSY,XNYS,-1,280.0000,USD,280.00,USD,235.38,EUR,1.1884,-0.50,EUR,234.88,EUR,5f4cb682-7836-47d3-9b61-fa1314cba77d
24-11-2020,18:11,MODERNA INC. - COMMON,US60770K1079,NDQ,CDED,-1,98.6100,USD,98.61,USD,82.92,EUR,1.1880,-0.50,EUR,82.42,EUR,7b554e72-5658-4928-a177-25ae79c23a20
24-11-2020,15:32,TESLA MOTORS INC. - C,US88160R1014,NDQ,ARCX,-1,538.0000,USD,538.00,USD,453.02,EUR,1.1864,-0.50,EUR,452.52,EUR,ad1ea524-c83a-4fb4-8431-a1e3496257db
19-11-2020,15:35,TESLA MOTORS INC. - C,US88160R1014,NDQ,XNAS,-1,493.0000,USD,493.00,USD,416.19,EUR,1.1834,-0.50,EUR,415.69,EUR,609ac58f-fe99-43b1-89e9-4dde105ed33c
19-11-2020,15:32,TESLA MOTORS INC. - C,US88160R1014,NDQ,SOHO,-1,498.1600,USD,498.16,USD,420.51,EUR,1.1835,-0.50,EUR,420.01,EUR,9856e79d-560e-4398-974f-675c3a9e112b
17-11-2020,00:00,PFIZER INC - NON TRADEABLE,US92556V1061,DEG,,1,0.0000,EUR,0.00,EUR,0.00,EUR,,,,0.00,EUR,
16-11-2020,16:14,PFIZER INC. COMMON ST,US7170811035,NSY,CDED,-10,37.1500,USD,371.50,USD,313.35,EUR,1.1844,-0.53,EUR,312.82,EUR,d63d58a9-9cc0-41b6-8f95-36ee5f298f72
10-11-2020,15:47,ALIBABA GROUP HOLDING,US01609W1027,NSY,CDED,1,266.4200,USD,-266.42,USD,-225.72,EUR,1.1791,-0.50,EUR,-226.22,EUR,cd784744-dde8-4087-8e7b-9afcaccbbcae
09-11-2020,15:30,PFIZER INC. COMMON ST,US7170811035,NSY,XNYS,10,41.9400,USD,-419.40,USD,-351.99,EUR,1.1903,-0.53,EUR,-352.52,EUR,643692e0-4a9d-459a-a2e0-0972cdfd2b26
09-11-2020,14:32,PFIZER INC,US7170811035,XET,XETB,10,35.8000,EUR,-358.00,EUR,-358.00,EUR,,-4.18,EUR,-362.18,EUR,fa6db920-9f2a-4ff9-91b9-36d71d6b51ea
09-11-2020,09:17,CD PROJEKT RED SA,PLOPTTC00011,WSE,XWAR,-2,400.0000,PLN,800.00,PLN,178.35,EUR,4.4855,-0.38,EUR,177.97,EUR,ac926ce2-b306-487b-b153-f8cf39ce2bbc
05-11-2020,15:44,TESLA MOTORS INC. - C,US88160R1014,NDQ,CDED,-1,432.1100,USD,432.11,USD,364.41,EUR,1.1846,-0.50,EUR,363.91,EUR,2d676a17-9ba4-4a1d-84b5-205113ce93dc
04-11-2020,20:13,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-2,217.3600,USD,434.72,USD,370.34,EUR,1.1727,-0.51,EUR,369.83,EUR,8c61d591-76f2-407d-8c6b-cfa198c3e9a5
04-11-2020,09:00,EUR/PLN,,CNX,,360,4.5990,PLN,-1655.64,PLN,-360.00,EUR,4.5990,,,-360.00,EUR,f1e020c7-93cf-40df-a720-d1e2efb13eb6
03-11-2020,15:34,TESLA MOTORS INC. - C,US88160R1014,NDQ,XNAS,-1,408.0000,USD,408.00,USD,347.43,EUR,1.1732,-0.50,EUR,346.93,EUR,f34dae18-dbfc-476b-b23a-accdd126ea25
03-11-2020,15:33,ALIBABA GROUP HOLDING,US01609W1027,NSY,SOHO,1,284.4600,USD,-284.46,USD,-242.78,EUR,1.1705,-0.50,EUR,-243.28,EUR,701b33ad-3241-4867-9225-6016535d5f3d
02-11-2020,22:58,EUR/PLN,,CNX,,-360,4.5990,PLN,1655.64,PLN,360.00,EUR,4.5990,0.00,EUR,360.00,EUR,f1e020c7-93cf-40df-a720-d1e2efb13eb6
30-10-2020,16:45,PROCTER & GAMBLE COMPA,US7427181091,NSY,CDED,3,136.0400,USD,-408.12,USD,-350.14,EUR,1.1644,-0.51,EUR,-350.65,EUR,e09e708c-b491-4ad3-a7c7-3e73a59288a6
30-10-2020,16:44,MICROSOFT CORPORATION,US5949181045,NDQ,ARCX,2,200.0000,USD,-400.00,USD,-342.99,EUR,1.1650,-0.51,EUR,-343.50,EUR,484da388-3db3-460c-a9e4-5701520310bc
30-10-2020,16:43,ALPHABET INC. - CLASS A,US02079K3059,NDQ,XNAS,-1,1615.0000,USD,1615.00,USD,1382.07,EUR,1.1674,-0.50,EUR,1381.57,EUR,c10a7b3b-404d-40de-8f4b-d8d1841159c8
30-10-2020,16:26,TESLA MOTORS INC. - C,US88160R1014,NDQ,CDED,1,386.8600,USD,-386.86,USD,-331.16,EUR,1.1670,-0.50,EUR,-331.66,EUR,ae013402-3e18-4722-b5cb-9f2ee063a9fa
29-10-2020,09:10,CD PROJEKT RED SA,PLOPTTC00011,WSE,XWAR,2,335.3000,PLN,-670.60,PLN,-144.68,EUR,4.6350,-0.35,EUR,-145.03,EUR,7eae7f0e-7f44-4961-9419-ef6d863f9022
28-10-2020,20:59,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,1,202.8500,USD,-202.85,USD,-172.68,EUR,1.1735,-0.50,EUR,-173.18,EUR,94675008-82d7-4287-880a-6b4f1dabeda5
28-10-2020,20:58,SNOWFLAKE INC-CLASS A,US8334451098,NSY,CDED,-1,272.2700,USD,272.27,USD,231.32,EUR,1.1759,-0.50,EUR,230.82,EUR,dfc2f30d-72d1-479e-827a-0287f9249d84
28-10-2020,19:12,ALIBABA GROUP HOLDING,US01609W1027,NSY,CDED,1,308.5500,USD,-308.55,USD,-262.55,EUR,1.1740,-0.50,EUR,-263.05,EUR,6bd477c3-469e-4a5b-8fd2-a6a3176e779a
28-10-2020,19:08,TESLA MOTORS INC. - C,US88160R1014,NDQ,CDED,1,411.8200,USD,-411.82,USD,-350.46,EUR,1.1739,-0.50,EUR,-350.96,EUR,d1779d3d-9998-48c9-a52a-dbf70d0552df
28-10-2020,19:06,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,2,204.9900,USD,-409.98,USD,-348.89,EUR,1.1739,-0.51,EUR,-349.40,EUR,263f266a-e00f-4aca-9d0c-0bd4e9de7fbf
26-10-2020,16:31,SNOWFLAKE INC-CLASS A,US8334451098,NSY,CDED,1,250.5500,USD,-250.55,USD,-212.17,EUR,1.1797,-0.50,EUR,-212.67,EUR,e0a62a52-b73d-4ffe-9874-68dd9d413e9d
23-10-2020,15:49,SNOWFLAKE INC-CLASS A,US8334451098,NSY,XNYS,2,280.0000,USD,-560.00,USD,-472.97,EUR,1.1828,-0.51,EUR,-473.48,EUR,5e3a17dc-d059-427a-b07c-f16786453e3b
22-10-2020,21:29,SNOWFLAKE INC-CLASS A,US8334451098,NSY,XNYS,-1,300.0000,USD,300.00,USD,253.36,EUR,1.1829,-0.50,EUR,252.86,EUR,d548e5af-8e3e-4910-a73e-ea01d3baa2f4
12-10-2020,18:14,MICROSOFT CORPORATION,US5949181045,NDQ,,-2,221.0000,USD,442.00,USD,373.70,EUR,1.1816,-0.51,EUR,373.19,EUR,c43e8ce8-2913-4216-8db3-a2525e3d1193
12-10-2020,15:50,TESLA MOTORS INC. - C,US88160R1014,NDQ,,-1,441.6900,USD,441.69,USD,373.15,EUR,1.1825,-0.50,EUR,372.65,EUR,7ca0ae55-8b95-4211-910c-aa640007c2cf
01-10-2020,19:21,TESLA MOTORS INC. - C,US88160R1014,NDQ,,-1,446.0000,USD,446.00,USD,378.98,EUR,1.1757,-0.50,EUR,378.48,EUR,07040383-5dfe-48e4-8a9a-575d8043f5c4
01-10-2020,15:36,TESLA MOTORS INC. - C,US88160R1014,NDQ,,-2,439.2100,USD,878.42,USD,746.35,EUR,1.1758,-0.51,EUR,745.84,EUR,15b9b3eb-4141-4e12-bf42-048b8f42af1f
21-09-2020,16:06,SNOWFLAKE INC-CLASS A,US8334451098,NSY,,1,229.5000,USD,-229.50,USD,-195.27,EUR,1.1741,-0.50,EUR,-195.77,EUR,1173cba9-5610-4785-92ae-07fe9abb0f93
17-09-2020,15:30,SNOWFLAKE INC-CLASS A,US8334451098,NSY,,2,230.0000,USD,-460.00,USD,-389.76,EUR,1.1790,-0.51,EUR,-390.27,EUR,f99f6980-bac0-4c8f-843f-dc4cdd03787f
16-09-2020,21:52,TESLA MOTORS INC. - C,US88160R1014,NDQ,,-1,441.3200,USD,441.32,USD,373.35,EUR,1.1809,-0.50,EUR,372.85,EUR,b239bb3c-fd64-42ca-abd8-2a4887d5b82a
15-09-2020,16:58,ALPHABET INC. - CLASS A,US02079K3059,NDQ,,1,1541.0000,USD,-1541.00,USD,-1300.09,EUR,1.1841,-0.50,EUR,-1300.59,EUR,983a32ff-307a-44ea-b811-9be329ea6301
15-09-2020,16:57,TESLA MOTORS INC. - C,US88160R1014,NDQ,,-3,442.1100,USD,1326.33,USD,1116.56,EUR,1.1867,-0.51,EUR,1116.05,EUR,1bd6cdc6-31fa-45ab-af94-8cd592561b0d
15-09-2020,16:17,MICROSOFT CORPORATION,US5949181045,NDQ,,2,208.0700,USD,-416.14,USD,-351.35,EUR,1.1832,-0.51,EUR,-351.86,EUR,c7871143-c235-41ae-971d-94dc66b9e470
14-09-2020,16:36,MICROSOFT CORPORATION,US5949181045,NDQ,,2,208.3400,USD,-416.68,USD,-350.83,EUR,1.1865,-0.51,EUR,-351.34,EUR,62fc5ce3-a585-414d-bd53-23923307f162
14-09-2020,16:35,APPLE INC. - COMMON ST,US0378331005,NDQ,,4,114.6100,USD,-458.44,USD,-385.92,EUR,1.1867,-0.51,EUR,-386.43,EUR,b8dd4eb0-6562-4a78-8c2b-3f3b4f76efb4
14-09-2020,16:34,TESLA MOTORS INC. - C,US88160R1014,NDQ,,-3,393.6700,USD,1181.01,USD,992.21,EUR,1.1891,-0.51,EUR,991.70,EUR,db6d0505-274a-4988-9e0e-cc1563739c26
14-09-2020,15:35,APPLE INC. - COMMON ST,US0378331005,NDQ,,1,113.8500,USD,-113.85,USD,-95.86,EUR,1.1865,-0.50,EUR,-96.36,EUR,d8cb1090-eeff-4560-bd92-3bf53bdb0017
08-09-2020,15:30,TESLA MOTORS INC. - C,US88160R1014,NDQ,,2,355.5000,USD,-711.00,USD,-603.57,EUR,1.1768,-0.51,EUR,-604.08,EUR,6515ac46-34e1-4356-ae2d-e5bba41c584a
03-09-2020,21:15,APPLE INC. - COMMON ST,US0378331005,NDQ,,3,121.7400,USD,-365.22,USD,-308.07,EUR,1.1843,-0.51,EUR,-308.58,EUR,1ef8705d-f8e6-4029-babb-69fe6319d8c4
03-09-2020,17:05,TESLA MOTORS INC. - C,US88160R1014,NDQ,,2,408.0880,USD,-816.18,USD,-689.80,EUR,1.1820,-0.51,EUR,-690.31,EUR,3d910fea-710f-46b6-bb97-33d6e245cf0c
03-09-2020,17:05,ALPHABET INC. - CLASS A,US02079K3059,NDQ,,-1,1658.2100,USD,1658.21,USD,1398.66,EUR,1.1844,-0.50,EUR,1398.16,EUR,c4bb4244-2b94-4e7c-8cb8-2dc0935f480a
03-09-2020,16:00,ALLIANZ CHINA EQUITY-P USD I,LU0348832204,KFS,,0.552000,1794.6800,USD,-990.66,USD,-836.14,EUR,1.1836,-8.34,EUR,-844.48,EUR,92014a26-cacd-490f-8481-8146aab2e3fa
02-09-2020,18:01,TESLA MOTORS INC. - C,US88160R1014,NDQ,,1,436.6000,USD,-436.60,USD,-368.75,EUR,1.1828,-0.50,EUR,-369.25,EUR,978fd429-c6ed-486b-b1b0-5762f1ab1669
02-09-2020,17:27,TESLA MOTORS INC. - C,US88160R1014,NDQ,,3,425.4700,USD,-1276.41,USD,-1078.96,EUR,1.1818,-0.51,EUR,-1079.47,EUR,abaeba40-0bc9-4722-a564-1fa70d491826
02-09-2020,15:51,TESLA MOTORS INC. - C,US88160R1014,NDQ,,1,454.3100,USD,-454.31,USD,-384.00,EUR,1.1819,-0.50,EUR,-384.50,EUR,41c7069b-8b68-4942-953c-e72ce8e81534
02-09-2020,15:32,TESLA MOTORS INC. - C,US88160R1014,NDQ,,2,471.9100,USD,-943.82,USD,-797.68,EUR,1.1820,-0.51,EUR,-798.19,EUR,af9bc4c9-70c4-43bb-8210-b78a0c6e9c73
01-09-2020,15:38,TESLA MOTORS INC. - C,US88160R1014,NDQ,,2,492.0000,USD,-984.00,USD,-821.71,EUR,1.1963,-0.51,EUR,-822.22,EUR,241d6dd4-3f76-4655-8b13-c806ebde28f5
31-08-2020,15:42,APPLE INC. - COMMON ST,US0378331005,NDQ,,3,127.7890,USD,-383.37,USD,-321.24,EUR,1.1922,-0.51,EUR,-321.75,EUR,0b66a17f-13a3-4380-a603-5c325e08abac
31-08-2020,15:37,TESLA MOTORS INC. - C,US88160R1014,NDQ,,2,444.9140,USD,-889.83,USD,-745.69,EUR,1.1921,-0.51,EUR,-746.20,EUR,503e130a-bfaf-43fa-88fe-e3204b87a0d9
26-08-2020,19:20,MODERNA INC. - COMMON,US60770K1079,NDQ,,-1,70.4600,USD,70.46,USD,59.42,EUR,1.1846,-0.50,EUR,58.92,EUR,841fee9c-3daa-4b70-a9c9-f6e00ab5be9e
26-08-2020,19:20,ELECTRONIC ARTS INC. -,US2855121099,NDQ,,-2,143.2600,USD,286.52,USD,241.63,EUR,1.1846,-0.51,EUR,241.12,EUR,d784892e-be95-445e-b2fa-2c1a6f19120e
26-08-2020,15:40,ACTIVISION BLIZZARD I,US00507V1098,NDQ,,-2,83.6200,USD,167.24,USD,141.29,EUR,1.1825,-0.51,EUR,140.78,EUR,2a59fd5c-8398-4b9a-b3c3-b91f338e97f0
26-08-2020,15:38,TESLA MOTORS INC. - C,US88160R1014,NDQ,,-1,2059.4500,USD,2059.45,USD,1740.04,EUR,1.1824,-0.50,EUR,1739.54,EUR,7014f832-62ad-46c8-93f0-4eae41668948
24-08-2020,20:59,TESLA MOTORS INC. - C,US88160R1014,NDQ,,1,2004.9200,USD,-2004.92,USD,-1699.95,EUR,1.1782,-0.50,EUR,-1700.45,EUR,392f5d3a-6adb-4540-8f5b-8a76cf6160a7
24-08-2020,18:17,TESLA MOTORS INC. - C,US88160R1014,NDQ,,-1,2051.0000,USD,2051.00,USD,1733.93,EUR,1.1817,-0.50,EUR,1733.43,EUR,fc874198-e0ba-4e95-8074-76e17db5fa1c
24-08-2020,16:26,TESLA MOTORS INC. - C,US88160R1014,NDQ,,1,1989.6220,USD,-1989.62,USD,-1683.12,EUR,1.1809,-0.50,EUR,-1683.62,EUR,53904e89-4c95-4862-b568-59257095a242
24-08-2020,16:25,ELECTRONIC ARTS INC. -,US2855121099,NDQ,,5,142.4800,USD,-712.40,USD,-602.55,EUR,1.1811,-0.52,EUR,-603.07,EUR,92571f5b-20b7-4fd5-bc28-0c6bc9c6569f
24-08-2020,15:30,ACTIVISION BLIZZARD I,US00507V1098,NDQ,,7,83.3400,USD,-583.38,USD,-492.80,EUR,1.1826,-0.52,EUR,-493.32,EUR,b9b61267-543d-44bd-a1d2-c512a54ba719
19-08-2020,15:51,TESLA MOTORS INC. - C,US88160R1014,NDQ,,-1,1870.0000,USD,1870.00,USD,1562.12,EUR,1.1959,-0.50,EUR,1561.62,EUR,fbd6a9d3-28f0-4c62-89bc-68331de469dc
19-08-2020,15:34,TESLA MOTORS INC. - C,US88160R1014,NDQ,,1,1860.0000,USD,-1860.00,USD,-1557.40,EUR,1.1931,-0.50,EUR,-1557.90,EUR,e301f117-5a00-4bef-998c-d2d2bb8a7765
